iter	Passed	Remaining
370	2022	3428
371	2027	3422
372	2031	3415
373	2036	3409
374	2042	3403
375	2046	3396
376	2052	3391
377	2056	3383
378	2061	3377
379	2066	3372
380	2071	3365
381	2076	3359
382	2081	3352
383	2085	3345
384	2090	3339
385	2095	3332
386	2100	3326
387	2104	3320
388	2109	3314
389	2114	3307
390	2118	3300
391	2123	3294
392	2128	3287
393	2132	3280
394	2137	3273
395	2141	3267
396	2146	3260
397	2151	3254
398	2156	3248
399	2160	3241
400	2165	3235
401	2170	3229
402	2175	3223
403	2180	3217
404	2185	3211
405	2190	3205
406	2195	3198
407	2199	3191
408	2205	3186
409	2209	3179
410	2213	3172
411	2218	3166
412	2223	3160
413	2228	3154
414	2233	3148
415	2239	3143
416	2243	3136
417	2248	3130
418	2252	3123
419	2257	3117
420	2261	3110
421	2266	3105
422	2271	3098
423	2276	3091
424	2280	3085
425	2285	3079
426	2290	3074
427	2296	3068
428	2300	3062
429	2305	3056
430	2309	3049
431	2314	3043
432	2319	3037
433	2324	3031
434	2329	3025
435	2334	3019
436	2339	3014
437	2344	3008
438	2349	3002
439	2359	3002
440	2372	3006
441	2387	3014
442	2393	3009
443	2398	3003
444	2403	2997
445	2408	2991
446	2413	2986
447	2418	2980
448	2427	2978
449	2433	2974
450	2437	2967
451	2442	2961
452	2448	2956
453	2453	2950
454	2458	2944
455	2463	2938
456	2468	2933
457	2473	2927
458	2479	2921
459	2483	2915
460	2487	2908
461	2493	2903
462	2497	2896
463	2502	2890
464	2507	2884
465	2512	2879
466	2517	2873
467	2522	2867
468	2528	2862
469	2532	2856
470	2537	2850
471	2542	2843
472	2547	2838
473	2551	2831
474	2558	2828
475	2564	2822
476	2568	2816
477	2573	2810
478	2579	2805
479	2584	2799
480	2589	2794
481	2595	2789
482	2599	2782
483	2605	2777
484	2610	2771
485	2614	2765
486	2619	2759
487	2624	2753
488	2629	2747
489	2634	2741
490	2639	2736
491	2644	2730
492	2649	2724
493	2654	2718
494	2659	2713
495	2664	2707
496	2669	2701
497	2674	2696
498	2679	2690
499	2684	2684
500	2688	2678
501	2694	2672
502	2698	2666
503	2703	2660
504	2708	2654
505	2713	2648
506	2718	2643
507	2723	2638
508	2728	2632
509	2733	2626
510	2738	2621
511	2744	2615
512	2748	2609
513	2754	2604
514	2760	2599
515	2765	2593
516	2770	2588
517	2776	2583
518	2780	2577
519	2785	2571
520	2791	2566
521	2795	2560
522	2800	2554
523	2806	2549
524	2811	2543
525	2816	2538
526	2821	2532
527	2826	2526
528	2830	2520
529	2835	2514
530	2840	2508
531	2845	2503
532	2850	2497
533	2855	2491
534	2862	2487
535	2881	2494
536	2891	2492
537	2895	2486
538	2901	2481
539	2906	2475
540	2914	2472
541	2920	2467
542	2925	2461
543	2929	2455
544	2935	2450
545	2940	2445
546	2945	2439
547	2950	2433
548	2955	2427
549	2959	2421
550	2965	2416
551	2970	2410
552	2975	2404
553	2980	2399
554	2985	2393
555	2990	2388
556	2995	2382
557	3000	2376
558	3005	2371
559	3010	2365
560	3015	2359
561	3020	2354
562	3025	2348
563	3030	2342
564	3035	2336
565	3040	2331
566	3045	2325
567	3050	2319
568	3054	2314
569	3059	2307
570	3065	2303
571	3070	2297
572	3075	2291
573	3080	2286
574	3085	2280
575	3090	2274
576	3094	2268
577	3098	2262
578	3103	2256
579	3107	2250
580	3112	2244
581	3117	2239
582	3122	2233
583	3127	2227
584	3133	2222
585	3138	2217
586	3143	2211
587	3149	2206
588	3154	2201
589	3159	2195
590	3164	2189
591	3169	2184
592	3173	2178
593	3179	2173
594	3184	2167
595	3189	2161
596	3194	2156
597	3199	2150
598	3205	2145
599	3210	2140
600	3215	2134
601	3220	2129
602	3225	2123
603	3230	2117
604	3235	2112
605	3239	2106
606	3244	2100
607	3249	2094
608	3253	2089
609	3258	2083
610	3263	2077
611	3268	2072
612	3272	2066
613	3277	2060
614	3282	2054
615	3287	2049
616	3292	2043
617	3296	2037
618	3301	2032
619	3306	2026
620	3311	2021
621	3316	2015
622	3320	2009
623	3325	2004
624	3330	1998
625	3336	1993
626	3345	1990
627	3355	1987
628	3368	1986
629	3373	1981
630	3381	1977
631	3386	1972
632	3392	1966
633	3396	1961
634	3402	1955
635	3406	1949
636	3411	1944
637	3416	1938
638	3421	1932
639	3426	1927
640	3431	1921
641	3435	1915
642	3439	1909
643	3445	1904
644	3450	1899
645	3455	1893
646	3459	1887
647	3464	1881
648	3468	1875
649	3473	1870
650	3477	1864
651	3482	1858
652	3487	1853
653	3492	1847
654	3496	1841
655	3501	1836
656	3505	1830
657	3510	1824
658	3515	1818
659	3520	1813
660	3525	1807
661	3530	1802
662	3535	1797
663	3540	1791
664	3545	1785
665	3550	1780
666	3555	1775
667	3560	1769
668	3565	1763
669	3570	1758
670	3576	1753
671	3580	1747
672	3585	1742
673	3592	1737
674	3596	1731
675	3602	1726
676	3607	1720
677	3612	1715
678	3616	1709
679	3621	1704
680	3626	1698
681	3630	1692
682	3635	1687
683	3640	1681
684	3645	1676
685	3650	1670
686	3655	1665
687	3660	1660
688	3665	1654
689	3670	1649
690	3675	1643
691	3680	1638
692	3686	1632
693	3690	1627
694	3695	1621
695	3699	1615
696	3705	1610
697	3709	1604
698	3714	1599
699	3718	1593
700	3724	1588
701	3728	1582
702	3733	1577
703	3738	1571
704	3742	1566
705	3747	1560
706	3752	1555
707	3757	1549
708	3761	1544
709	3766	1538
710	3771	1533
711	3775	1527
712	3780	1521
713	3785	1516
714	3794	1512
715	3802	1508
716	3813	1505
717	3822	1501
718	3826	1495
719	3832	1490
720	3837	1484
721	3841	1479
722	3846	1473
723	3852	1468
724	3860	1464
725	3866	1459
726	3871	1453
727	3876	1448
728	3881	1442
729	3885	1437
730	3890	1431
731	3895	1426
732	3900	1420
733	3905	1415
734	3909	1409
735	3915	1404
736	3920	1399
737	3924	1393
738	3929	1387
739	3934	1382
740	3938	1376
741	3943	1371
742	3948	1365
743	3953	1360
744	3957	1354
745	3962	1349
746	3966	1343
747	3971	1337
748	3976	1332
749	3981	1327
750	3986	1321
751	3991	1316
752	3997	1311
753	4002	1305
754	4007	1300
755	4012	1294
756	4016	1289
757	4021	1283
758	4026	1278
759	4031	1273
760	4036	1267
761	4040	1261
762	4045	1256
763	4050	1251
764	4054	1245
765	4059	1240
766	4065	1234
767	4069	1229
768	4074	1224
769	4079	1218
770	4083	1212
771	4088	1207
772	4093	1202
773	4098	1196
774	4102	1191
775	4107	1185
776	4112	1180
777	4117	1174
778	4122	1169
779	4127	1164
780	4131	1158
781	4136	1153
782	4142	1147
783	4147	1142
784	4152	1137
785	4157	1132
786	4161	1126
787	4166	1120
788	4170	1115
789	4176	1110
790	4181	1104
791	4185	1099
792	4190	1093
793	4195	1088
794	4200	1083
795	4205	1077
796	4209	1072
797	4214	1066
798	4219	1061
799	4223	1055
800	4229	1050
801	4233	1045
802	4239	1039
803	4244	1034
804	4248	1029
805	4253	1023
806	4257	1018
807	4263	1013
808	4267	1007
809	4272	1002
810	4278	996
811	4282	991
812	4287	986
813	4292	980
814	4313	979
815	4323	974
816	4330	970
817	4335	964
818	4343	959
819	4349	954
820	4354	949
821	4358	943
822	4363	938
823	4368	932
824	4373	927
825	4378	922
826	4382	916
827	4388	911
828	4393	906
829	4397	900
830	4402	895
831	4407	890
832	4412	884
833	4417	879
834	4422	873
835	4427	868
836	4432	863
837	4438	858
838	4443	852
839	4447	847
840	4453	841
841	4458	836
842	4463	831
843	4469	826
844	4474	820
845	4479	815
846	4484	810
847	4489	804
848	4494	799
849	4499	794
850	4505	788
851	4509	783
852	4514	777
853	4519	772
854	4524	767
855	4528	761
856	4533	756
857	4539	751
858	4543	745
859	4547	740
860	4552	735
861	4557	729
862	4562	724
863	4567	718
864	4572	713
865	4577	708
866	4582	703
867	4588	697
868	4592	692
869	4598	687
870	4603	681
871	4608	676
872	4613	671
873	4618	665
874	4623	660
875	4628	655
876	4633	649
877	4638	644
878	4642	639
879	4647	633
880	4652	628
881	4657	623
882	4664	617
883	4668	612
884	4673	607
885	4678	601
886	4683	596
887	4688	591
888	4693	586
889	4698	580
890	4703	575
891	4707	570
892	4712	564
893	4718	559
894	4722	554
895	4728	548
896	4733	543
897	4738	538
898	4744	533
899	4750	527
900	4754	522
901	4759	517
902	4766	511
903	4782	507
904	4793	503
905	4800	498
906	4805	492
907	4811	487
908	4818	482
909	4825	477
910	4832	472
911	4837	466
912	4843	461
913	4848	456
914	4853	450
915	4859	445
916	4864	440
917	4869	435
918	4875	429
919	4880	424
920	4884	418
921	4890	413
922	4896	408
923	4901	403
924	4906	397
925	4910	392
926	4915	387
927	4919	381
928	4924	376
929	4929	371
930	4933	365
931	4938	360
932	4943	354
933	4947	349
934	4952	344
935	4957	338
936	4961	333
937	4966	328
938	4970	322
939	4975	317
940	4979	312
941	4984	306
942	4989	301
943	4994	296
944	4999	290
945	5003	285
946	5009	280
947	5013	275
948	5018	269
949	5022	264
950	5027	259
951	5032	253
952	5036	248
953	5042	243
954	5047	237
955	5051	232
956	5056	227
957	5060	221
958	5064	216
959	5070	211
960	5075	205
961	5079	200
962	5085	195
963	5089	190
964	5094	184
965	5098	179
966	5103	174
967	5108	168
968	5113	163
969	5118	158
970	5122	152
971	5127	147
972	5133	142
973	5137	137
974	5142	131
975	5146	126
976	5151	121
977	5157	116
978	5161	110
979	5166	105
980	5171	100
981	5175	94
982	5180	89
983	5185	84
984	5190	79
985	5194	73
986	5199	68
987	5205	63
988	5209	57
989	5213	52
990	5218	47
991	5223	42
992	5228	36
993	5233	31
994	5238	26
995	5242	21
996	5247	15
997	5253	10
998	5258	5
999	5263	0
