iter	MultiClass
0	1.773227627
1	1.60737636
2	1.487926279
3	1.380830009
4	1.30623363
5	1.232805002
6	1.175461771
7	1.12101749
8	1.062351134
9	1.010001672
10	0.9677304477
11	0.9240181384
12	0.8805333917
13	0.8583362143
14	0.8291471506
15	0.798484927
16	0.7708079135
17	0.7406996921
18	0.7154418012
19	0.6894347053
20	0.6717844015
21	0.6503783294
22	0.6318163492
23	0.6128053047
24	0.5952219964
25	0.5819667171
26	0.5686985772
27	0.5574247641
28	0.5450057182
29	0.5322748933
30	0.5226425784
31	0.5110289153
32	0.4962748378
33	0.4868292533
34	0.4734860473
35	0.4634235314
36	0.45457518
37	0.448959563
38	0.4418788569
39	0.4345838459
40	0.4290238162
41	0.4179560593
42	0.406867568
43	0.4008047061
44	0.3953611973
45	0.388947425
46	0.3806870864
47	0.3723569146
48	0.3675872333
49	0.3617477713
50	0.3565242759
51	0.349293569
52	0.342228742
53	0.3393903589
54	0.3355682123
55	0.3297261754
56	0.3263298934
57	0.321982248
58	0.3156886245
59	0.3103201965
60	0.305299248
61	0.2996869798
62	0.2954903706
63	0.2931986209
64	0.2889664499
65	0.2847833862
66	0.281350568
67	0.2798942932
68	0.2773723699
69	0.2745338255
70	0.2726348305
71	0.2709819248
72	0.2675351781
73	0.2646425569
74	0.2627732257
75	0.2598893637
76	0.2574634205
77	0.2537047323
78	0.2511245309
79	0.2487360409
80	0.2469741389
81	0.2436943412
82	0.2419640879
83	0.2398698308
84	0.2382613085
85	0.2356965087
86	0.233620736
87	0.2309345354
88	0.2274461165
89	0.2247107096
90	0.2230782805
91	0.22123007
92	0.2189450474
93	0.2172114635
94	0.2159743838
95	0.2121068512
96	0.2100287304
97	0.2071628352
98	0.2055464779
99	0.2038977672
100	0.2021975495
101	0.1995289063
102	0.1981576409
103	0.195907839
104	0.1939933203
105	0.1928722081
106	0.1899249634
107	0.1874966366
108	0.185795917
109	0.1840775927
110	0.1827457179
111	0.1801919284
112	0.1793520828
113	0.1777331224
114	0.1756844921
115	0.1739873924
116	0.1724454567
117	0.1714433817
118	0.1703206349
119	0.1690915069
120	0.1682557757
121	0.1667817334
122	0.1649873101
123	0.1623244368
124	0.1591627339
125	0.1582969443
126	0.1567289214
127	0.1551915306
128	0.1540010799
129	0.1517137811
130	0.1507135789
131	0.149665658
132	0.1484367916
133	0.1470530865
134	0.1463246521
135	0.1450921965
136	0.1435426397
137	0.1427163727
138	0.1403983647
139	0.139578993
140	0.138138906
141	0.1375978896
142	0.1370022512
143	0.1363415472
144	0.1349537533
145	0.1338849184
146	0.1332629435
147	0.1323311298
148	0.1309559318
149	0.1300013838
150	0.1283400513
151	0.1267281483
152	0.1259865113
153	0.125143968
154	0.1228976066
155	0.1216237505
156	0.120684213
157	0.1202075515
158	0.1196847941
159	0.1191453526
160	0.1181397345
161	0.1176633093
162	0.1169465233
163	0.1164682071
164	0.1155307498
165	0.1146115405
166	0.1140575888
167	0.113372174
168	0.1128401912
169	0.1118872414
170	0.110908407
171	0.1104795816
172	0.1102719608
173	0.1093503063
174	0.1088739575
175	0.1086061251
176	0.1078694713
177	0.1073502071
178	0.1067791251
179	0.1065887198
180	0.1059721241
181	0.1053035597
182	0.1049934374
183	0.1040577367
184	0.1033745158
185	0.1025535968
186	0.1018506016
187	0.1012989063
188	0.1006164291
189	0.09996328961
190	0.09949372567
191	0.09897834108
192	0.0986060923
193	0.09799534147
194	0.09771855185
195	0.09735561607
196	0.09683290132
197	0.09653571715
198	0.09630052945
199	0.0959942824
200	0.09558722242
201	0.09523251616
202	0.09469407619
203	0.09376922676
204	0.09344136032
205	0.09291628374
206	0.09260308751
207	0.0921345936
208	0.09179306512
209	0.09073746287
210	0.09030139372
211	0.08940272464
212	0.08905171461
213	0.08860353786
214	0.08822550889
215	0.08767191216
216	0.08737407846
217	0.08692689156
218	0.08668987457
219	0.0863937009
220	0.08589809132
221	0.08554950095
222	0.08533960735
223	0.08490697466
224	0.08432614027
225	0.0838253245
226	0.08359062789
227	0.08340452572
228	0.08311264542
229	0.0828326994
230	0.08262844469
231	0.08232364191
232	0.08192172791
233	0.08150472221
234	0.08111005102
235	0.08088853031
236	0.08027373973
237	0.079923432
238	0.07943597164
239	0.07900777566
240	0.07837990245
241	0.07813183859
242	0.07772518271
243	0.07734237751
244	0.0766149448
245	0.07600731889
246	0.07565599443
247	0.07536991312
248	0.07482691243
249	0.07447765358
250	0.07425988999
251	0.07391925373
252	0.07359394804
253	0.07271872829
254	0.07239160762
255	0.07211151508
256	0.07176090603
257	0.07117580113
258	0.07089660538
259	0.07077253506
260	0.07048333923
261	0.07026560934
262	0.06996711287
263	0.06966637947
264	0.06938021809
265	0.06886631276
266	0.06870918731
267	0.06854125826
268	0.06834689838
269	0.06813543733
270	0.06793017284
271	0.06763995993
272	0.06714460351
273	0.06674953791
274	0.06645355016
275	0.06566519973
276	0.0653470013
277	0.06498332862
278	0.06475684872
279	0.06449609596
280	0.06423303339
281	0.06400834126
282	0.06377752934
283	0.06341414144
284	0.06325204301
285	0.06290117757
286	0.06261567943
287	0.06220794222
288	0.06201026381
289	0.06178086059
290	0.06136061961
291	0.06122563648
292	0.06111728444
293	0.06083650365
294	0.06069087005
295	0.06036976546
296	0.06006850908
297	0.05974699657
298	0.05955759643
299	0.059362132
300	0.05917500749
301	0.05904258225
302	0.05881054282
303	0.05858559814
304	0.05831790455
305	0.05819712989
306	0.05796366683
307	0.05772879659
308	0.05741537098
309	0.05720027844
310	0.05697380632
311	0.0567461176
312	0.05656390194
313	0.05630206343
314	0.05616224861
315	0.05602510367
316	0.05581791852
317	0.05554218659
318	0.0553214956
319	0.05516203586
320	0.05495210557
321	0.0546974566
322	0.05457454075
323	0.05445432275
324	0.0541738573
325	0.05398837242
326	0.05388477376
327	0.05378043207
328	0.05348010407
329	0.05331889092
330	0.05310276851
331	0.05300285033
332	0.05278320973
333	0.0526208009
334	0.05239109354
335	0.05220236189
336	0.05199020404
337	0.05179532332
338	0.05168328155
339	0.05137120187
340	0.0511778664
341	0.05099892014
342	0.05084950832
343	0.05050155356
344	0.05041888522
345	0.05034578778
346	0.05021380632
347	0.05009361018
348	0.04990649421
349	0.04971346979
350	0.04944681845
351	0.04922602961
352	0.04895308293
353	0.04869850408
354	0.04852981954
355	0.04836523143
356	0.04822528118
357	0.04802006692
358	0.04787422022
359	0.04761000724
360	0.04750300272
361	0.04744092218
362	0.04718264121
363	0.04705346554
364	0.04664485462
365	0.04652479142
366	0.04643070887
367	0.04619796769
368	0.04600076706
369	0.04591733979
370	0.04585483219
371	0.04578080494
372	0.04560585958
373	0.04551826911
374	0.04540530175
375	0.04531219104
376	0.04500805487
377	0.04490630794
378	0.04481700615
379	0.04464407202
380	0.04452370631
381	0.04441322936
382	0.04432234495
383	0.04422621725
384	0.04409160786
385	0.04398233407
386	0.04391300516
387	0.04379746853
388	0.04375329475
389	0.04351798317
390	0.04338941644
391	0.04331636541
392	0.04316589905
393	0.04300984569
394	0.04291298179
395	0.042849684
396	0.04276471026
397	0.0426400791
398	0.04226023306
399	0.04219343092
400	0.04198142671
401	0.04189030467
402	0.04173051419
403	0.0416850688
404	0.04160514997
405	0.04145927645
406	0.04141774205
407	0.04134902166
408	0.04121365192
409	0.04114089719
410	0.04104599942
411	0.04086396767
412	0.04066304035
413	0.0405932088
414	0.04052187543
415	0.04042996279
416	0.04032112627
417	0.04024450115
418	0.04017405322
419	0.04011638926
420	0.04007752868
421	0.04000792159
422	0.03973128636
423	0.03961206183
424	0.03953767515
425	0.03933994164
426	0.03917370773
